iter	Passed	Remaining
399	35335	53003
400	35416	52903
401	35497	52804
402	35556	52672
403	35648	52589
404	35718	52475
405	35794	52368
406	35897	52302
407	35978	52204
408	36052	52095
409	36148	52017
410	36239	51935
411	36330	51850
412	36428	51776
413	36506	51673
414	36608	51604
415	36688	51505
416	36776	51416
417	36880	51350
418	36980	51277
419	37060	51179
420	37158	51103
421	37257	51030
422	37361	50964
423	37464	50894
424	37555	50809
425	37654	50736
426	37736	50638
427	37837	50567
428	37939	50497
429	38050	50438
430	38139	50351
431	38238	50275
432	38347	50214
433	38456	50152
434	38549	50070
435	38653	50001
436	38739	49908
437	38805	49792
438	38889	49697
439	38989	49623
440	39093	49553
441	39167	49447
442	39252	49353
443	39335	49257
444	39418	49161
445	39502	49067
446	39595	48985
447	39700	48916
448	39784	48821
449	39887	48751
450	39982	48670
451	40059	48568
452	40156	48489
453	40256	48414
454	40341	48320
455	40431	48234
456	40531	48158
457	40622	48072
458	40718	47993
459	40815	47914
460	40913	47836
461	41014	47761
462	41114	47685
463	41209	47603
464	41293	47509
465	41375	47412
466	41451	47310
467	41539	47219
468	41630	47133
469	41717	47042
470	41793	46939
471	41901	46873
472	41997	46792
473	42104	46723
474	42199	46641
475	42291	46556
476	42357	46442
477	42442	46349
478	42529	46258
479	42612	46163
480	42722	46097
481	42810	46008
482	42894	45913
483	42970	45811
484	43056	45719
485	43136	45621
486	43229	45537
487	43319	45450
488	43411	45364
489	43487	45262
490	43557	45154
491	43647	45066
492	43738	44981
493	43835	44899
494	43914	44801
495	44014	44724
496	44098	44630
497	44178	44532
498	44249	44426
499	44330	44330
500	44420	44242
501	44509	44155
502	44603	44071
503	44689	43980
504	44766	43879
505	44851	43787
506	44924	43684
507	45016	43598
508	45101	43506
509	45174	43402
510	45260	43311
511	45351	43226
512	45443	43140
513	45529	43049
514	45614	42956
515	45688	42855
516	45780	42770
517	45875	42687
518	45963	42598
519	46054	42511
520	46139	42419
521	46230	42333
522	46310	42236
523	46404	42153
524	46494	42066
525	46580	41975
526	46682	41899
527	46779	41818
528	46859	41721
529	46949	41634
530	47039	41547
531	47122	41453
532	47212	41366
533	47298	41275
534	47374	41176
535	47478	41100
536	47565	41011
537	47662	40929
538	47758	40846
539	47841	40753
540	47940	40674
541	48034	40589
542	48118	40497
543	48224	40423
544	48313	40335
545	48400	40244
546	48495	40161
547	48599	40085
548	48692	40000
549	48784	39914
550	48867	39821
551	48956	39732
552	49053	39650
553	49143	39562
554	49226	39470
555	49310	39377
556	49397	39287
557	49494	39205
558	49587	39120
559	49680	39034
560	49785	38958
561	49897	38887
562	50014	38821
563	50096	38726
564	50356	38770
565	50470	38700
566	50597	38639
567	50739	38590
568	50868	38531
569	50981	38459
570	51070	38369
571	51208	38316
572	51374	38284
573	51549	38257
574	51661	38184
575	51761	38102
576	51893	38043
577	52013	37975
578	52164	37929
579	52270	37850
580	52380	37775
581	52491	37699
582	52632	37646
583	52751	37576
584	52871	37506
585	52986	37433
586	53100	37360
587	53203	37278
588	53345	37223
589	53520	37191
590	53670	37142
591	53790	37071
592	53919	37007
593	54073	36959
594	54195	36889
595	54319	36820
596	54463	36765
597	54614	36714
598	54722	36633
599	55003	36669
600	55128	36599
601	55250	36527
602	55422	36488
603	55637	36477
604	55964	36538
605	56114	36483
606	56325	36467
607	56471	36409
608	56582	36327
609	56683	36240
610	56804	36165
611	56896	36071
612	56976	35970
613	57100	35896
614	57204	35811
615	57290	35713
616	57387	35622
617	57482	35531
618	57624	35468
619	57759	35401
620	57860	35312
621	57962	35225
622	58059	35133
623	58153	35041
624	58239	34943
625	58323	34844
626	58415	34750
627	58522	34666
628	58627	34579
629	58719	34485
630	58813	34393
631	58937	34317
632	59087	34257
633	59186	34167
634	59286	34078
635	59393	33992
636	59493	33903
637	59585	33808
638	59681	33716
639	59785	33629
640	59893	33543
641	59992	33453
642	60098	33367
643	60191	33273
644	60288	33182
645	60391	33093
646	60484	32999
647	60579	32907
648	60669	32812
649	60765	32719
650	60862	32628
651	60952	32532
652	61058	32446
653	61162	32358
654	61258	32265
655	61360	32176
656	61460	32086
657	61564	31998
658	61661	31906
659	61755	31813
660	61851	31721
661	61937	31623
662	62039	31534
663	62135	31442
664	62260	31364
665	62385	31286
666	62475	31190
667	62570	31097
668	62659	31002
669	62758	30910
670	62847	30815
671	62942	30721
672	63024	30622
673	63107	30523
674	63209	30434
675	63300	30339
676	63399	30248
677	63492	30154
678	63579	30057
679	63665	29960
680	63756	29865
681	63828	29761
682	63935	29674
683	64048	29589
684	64191	29518
685	64300	29432
686	64393	29338
687	64483	29242
688	64607	29162
689	64744	29088
690	64856	29002
691	64960	28913
692	65046	28815
693	65144	28723
694	65237	28629
695	65343	28540
696	65431	28444
697	65561	28366
698	65675	28280
699	65777	28190
700	65876	28098
701	65978	28007
702	66075	27915
703	66178	27824
704	66273	27731
705	66410	27655
706	66555	27582
707	66675	27498
708	66771	27405
709	66866	27311
710	66963	27218
711	67055	27123
712	67152	27030
713	67240	26933
714	67325	26835
715	67422	26742
716	67504	26644
717	67595	26548
718	67681	26451
719	67766	26353
720	67848	26254
721	67973	26172
722	68084	26084
723	68177	25990
724	68255	25890
725	68346	25794
726	68443	25701
727	68537	25607
728	68619	25508
729	68709	25413
730	68797	25316
731	68880	25218
732	68965	25121
733	69056	25025
734	69152	24932
735	69240	24836
736	69349	24747
737	69455	24657
738	69554	24565
739	69649	24471
740	69777	24389
741	69909	24308
742	70023	24220
743	70105	24122
744	70195	24026
745	70284	23930
746	70400	23843
747	70544	23766
748	70660	23679
749	70754	23584
750	70847	23489
751	70933	23392
752	71071	23312
753	71182	23224
754	71280	23130
755	71377	23037
756	71471	22942
757	71572	22850
758	71667	22756
759	71755	22659
760	71862	22569
761	71971	22479
762	72058	22382
763	72149	22287
764	72224	22186
765	72315	22091
766	72406	21995
767	72496	21900
768	72586	21804
769	72662	21704
770	72747	21607
771	72840	21512
772	72930	21416
773	73016	21319
774	73107	21224
775	73195	21128
776	73293	21035
777	73393	20942
778	73484	20847
779	73602	20759
780	73703	20667
781	73803	20574
782	73889	20477
783	73974	20380
784	74073	20287
785	74162	20191
786	74252	20096
787	74341	20000
788	74426	19903
789	74513	19807
790	74593	19709
791	74695	19617
792	74784	19521
793	74868	19424
794	74948	19326
795	75043	19232
796	75140	19138
797	75228	19042
798	75324	18949
799	75421	18855
800	75508	18759
801	75603	18665
802	75681	18567
803	75778	18473
804	75862	18376
805	75937	18277
806	76019	18180
807	76112	18086
808	76188	17987
809	76269	17890
810	76357	17794
811	76449	17700
812	76554	17608
813	76658	17516
814	76866	17448
815	76973	17356
816	77076	17264
817	77178	17171
818	77286	17080
819	77385	16987
820	77473	16891
821	77566	16796
822	77640	16697
823	77725	16601
824	77811	16505
825	77920	16414
826	78015	16320
827	78107	16225
828	78202	16131
829	78282	16033
830	78374	15939
831	78462	15843
832	78559	15749
833	78650	15654
834	78749	15561
835	78840	15466
836	78935	15372
837	79029	15277
838	79119	15182
839	79201	15085
840	79292	14991
841	79384	14896
842	79483	14803
843	79576	14708
844	79679	14615
845	79761	14519
846	79863	14426
847	79977	14335
848	80065	14240
849	80167	14147
850	80253	14051
851	80340	13955
852	80450	13864
853	80545	13770
854	80635	13674
855	80726	13580
856	80814	13484
857	80917	13391
858	81013	13297
859	81099	13202
860	81192	13107
861	81280	13012
862	81372	12917
863	81463	12822
864	81558	12728
865	81663	12636
866	81753	12541
867	81841	12445
868	81912	12348
869	81998	12252
870	82087	12157
871	82163	12060
872	82241	11964
873	82319	11867
874	82397	11771
875	82477	11674
876	82546	11577
877	82627	11481
878	82698	11383
879	82795	11290
880	82882	11195
881	82968	11100
882	83063	11006
883	83141	10909
884	83219	10813
885	83306	10718
886	83385	10622
887	83453	10525
888	83529	10429
889	83612	10334
890	83687	10237
891	83772	10142
892	83858	10047
893	83941	9952
894	84019	9856
895	84108	9762
896	84196	9668
897	84277	9572
898	84361	9477
899	84444	9382
900	84518	9286
901	84599	9191
902	84677	9096
903	84767	9001
904	84845	8906
905	84931	8811
906	85011	8716
907	85079	8620
908	85170	8526
909	85249	8431
910	85325	8335
911	85401	8240
912	85474	8144
913	85546	8049
914	85619	7953
915	85690	7858
916	85760	7762
917	85834	7667
918	85920	7572
919	85994	7477
920	86063	7382
921	86136	7286
922	86211	7192
923	86290	7097
924	86365	7002
925	86437	6907
926	86512	6812
927	86587	6717
928	86662	6623
929	86740	6528
930	86816	6434
931	86893	6339
932	86967	6245
933	87046	6151
934	87110	6055
935	87175	5960
936	87258	5866
937	87338	5772
938	87415	5678
939	87482	5584
940	87554	5489
941	87627	5395
942	87704	5301
943	87779	5207
944	87854	5113
945	87921	5018
946	88011	4925
947	88098	4832
948	88185	4739
949	88272	4645
950	88369	4553
951	88457	4460
952	88548	4367
953	88637	4273
954	88715	4180
955	88797	4086
956	88877	3993
957	88968	3900
958	89050	3807
959	89134	3713
960	89219	3620
961	89333	3528
962	89427	3435
963	89510	3342
964	89592	3249
965	89680	3156
966	89774	3063
967	89860	2970
968	89942	2877
969	90028	2784
970	90118	2691
971	90203	2598
972	90277	2505
973	90368	2412
974	90476	2319
975	90595	2227
976	90705	2135
977	90814	2042
978	91064	1953
979	91187	1860
980	91307	1768
981	91418	1675
982	91518	1582
983	91617	1489
984	91707	1396
985	91796	1303
986	91892	1210
987	92015	1117
988	92144	1024
989	92248	931
990	92363	838
991	92464	745
992	92562	652
993	92683	559
994	92790	466
995	92908	373
996	93001	279
997	93129	186
998	93256	93
999	93497	0
